entry_utc,exit_utc,closest_approach_utc,duration_hours,min_distance_from_earth_center_km,min_distance_earth_radii
2054-07-21 18:29:34,2054-07-22 06:34:22,2054-07-22 00:32:58,12.08,5292,0.831
2054-08-04 07:42:28,2054-08-04 15:22:09,2054-08-04 11:32:19,7.66,5805,0.911
2054-08-18 03:02:49,2054-08-19 00:30:52,2054-08-18 13:46:35,21.47,664,0.104
2054-09-01 00:50:44,2054-09-01 18:34:56,2054-09-01 09:43:35,17.74,1737,0.273
2054-09-14 18:12:24,2054-09-15 11:36:24,2054-09-15 02:52:24,17.40,3819,0.599
2054-11-22 04:06:25,2054-11-22 06:09:14,2054-11-22 05:07:50,2.05,6351,0.997
2054-12-18 13:52:46,2054-12-19 13:23:33,2054-12-19 01:35:09,23.51,1154,0.181
2055-01-15 02:07:42,2055-01-15 19:56:03,2055-01-15 11:00:38,17.81,3151,0.495
2057-06-16 23:50:20,2057-06-17 09:29:51,2057-06-17 04:40:06,9.66,5413,0.850
2057-06-30 17:36:03,2057-07-01 09:49:34,2057-07-01 01:42:18,16.23,4236,0.665
2057-07-14 16:25:56,2057-07-15 10:58:15,2057-07-15 01:43:20,18.54,1585,0.249
2057-07-28 02:46:44,2057-07-29 00:42:49,2057-07-28 13:40:31,21.93,298,0.047
2057-08-11 10:28:54,2057-08-11 19:31:24,2057-08-11 15:00:39,9.04,5800,0.910
2057-08-24 11:22:59,2057-08-25 08:23:55,2057-08-24 21:49:57,21.02,1983,0.311
2057-09-07 05:47:57,2057-09-08 00:27:45,2057-09-07 15:08:51,18.66,4241,0.666
2057-09-20 16:45:23,2057-09-21 12:21:51,2057-09-21 02:32:52,19.61,2958,0.464
2057-10-03 20:57:24,2057-10-04 20:53:21,2057-10-04 08:54:22,23.93,2036,0.320
2057-10-17 21:16:12,2057-10-18 15:37:49,2057-10-18 06:29:00,18.36,3593,0.564
2057-10-31 00:10:58,2057-10-31 15:59:58,2057-10-31 08:04:28,15.82,4489,0.705
2057-11-14 05:51:52,2057-11-14 19:53:49,2057-11-14 12:54:21,14.03,4948,0.777
2057-11-27 12:27:51,2057-11-28 07:43:11,2057-11-27 22:04:46,19.26,144,0.023
2060-04-29 16:29:05,2060-04-30 02:38:32,2060-04-29 21:34:04,10.16,5359,0.841
2060-05-27 05:27:18,2060-05-28 01:58:57,2060-05-27 15:44:38,20.53,416,0.065
2060-06-09 17:27:08,2060-06-10 03:43:00,2060-06-09 22:34:04,10.26,5672,0.890
2060-06-23 10:40:44,2060-06-24 09:53:09,2060-06-23 22:19:11,23.21,1232,0.193
2060-07-06 20:16:43,2060-07-07 12:12:20,2060-07-07 04:13:02,15.93,4481,0.703
2060-07-20 08:21:10,2060-07-21 04:24:23,2060-07-20 18:23:32,20.05,3941,0.619
